sample population group sex
PL_Wa_H05_2 cnx3 cornix 1
PL_Wa_H06_1 cnx3 cornix 1
PL_Wa_H06_2 cnx3 cornix 1
PL_Wa_H09_1 cnx3 cornix 1
PL_Wa_H09_2 cnx3 cornix 1
PL_Wa_H11_1 cnx3 cornix 1
PL_Wa_H11_2 cnx3 cornix 1
PL_Wa_H14_1 cnx3 cornix 1
PL_Wa_H14_2 cnx3 cornix 1
PL_Wa_H16_1 cnx3 cornix 1
PL_Wa_H16_2 cnx3 cornix 1
PL_Wa_H17_1 cnx3 cornix 1
PL_Wa_H17_2 cnx3 cornix 1
PL_Wa_H22_1 cnx3 cornix 1
PL_Wa_H22_2 cnx3 cornix 1
PL_Wa_H23_1 cnx3 cornix 1
PL_Wa_H23_2 cnx3 cornix 1
PL_Wa_H32_1 cnx3 cornix 1
PL_Wa_H32_2 cnx3 cornix 1
PL_Wa_H35_1 cnx3 cornix 1
PL_Wa_H35_2 cnx3 cornix 1
PL_Wa_H50_1 cnx3 cornix 1
PL_Wa_H50_2 cnx3 cornix 1
PL_Wa_H52_1 cnx3 cornix 1
PL_Wa_H52_2 cnx3 cornix 1
RUS_Ke_Y0_1 hyb2 hybrid 1
RUS_Ke_Y0_2 hyb2 hybrid 1
RUS_Ke_Y01_1 hyb2 hybrid 1
RUS_Ke_Y01_2 hyb2 hybrid 1
RUS_Ke_Y02_1 hyb2 hybrid 1
RUS_Ke_Y02_2 hyb2 hybrid 1
RUS_Ke_Y05_1 hyb2 hybrid 1
RUS_Ke_Y05_2 hyb2 hybrid 1
RUS_Ke_Y06_1 hyb2 hybrid 1
RUS_Ke_Y06_2 hyb2 hybrid 1
RUS_Ki_H02_1 cnx4 cornix 1
RUS_Ki_H02_2 cnx4 cornix 1
RUS_Ki_H03_1 cnx4 cornix 1
RUS_Ki_H03_2 cnx4 cornix 1
RUS_Ki_H04_1 cnx4 cornix 1
RUS_Ki_H04_2 cnx4 cornix 1
RUS_Kr_O01_1 ori1 orientalis 1
RUS_Kr_O01_2 ori1 orientalis 1
RUS_Kr_O02_1 ori1 orientalis 1
RUS_Kr_O02_2 ori1 orientalis 1
RUS_Kr_O03_1 ori1 orientalis 1
RUS_Kr_O03_2 ori1 orientalis 1
RUS_Kr_O04_1 ori1 orientalis 1
RUS_Kr_O04_2 ori1 orientalis 1
RUS_No_H02_1 cnx4 cornix 1
RUS_No_H02_2 cnx4 cornix 1
RUS_No_H03_1 cnx4 cornix 1
RUS_No_H03_2 cnx4 cornix 1
RUS_Pr_O01_1 ori3 orientalis 1
RUS_Pr_O01_2 ori3 orientalis 1
RUS_Pr_O02_1 ori3 orientalis 1
RUS_Pr_O02_2 ori3 orientalis 1
RUS_Pr_O03_1 ori3 orientalis 1
RUS_Pr_O03_2 ori3 orientalis 1
RUS_Pr_O04_1 ori3 orientalis 1
RUS_Pr_O04_2 ori3 orientalis 1
RUS_Pr_O05_1 ori3 orientalis 1
RUS_Pr_O05_2 ori3 orientalis 1
RUS_Tu_H01_1 cnx4 cornix 1
RUS_Tu_H01_2 cnx4 cornix 1
RUS_Tv_O01_1 ori1 orientalis 1
RUS_Tv_O01_2 ori1 orientalis 1
RUS_Tv_O02_1 ori1 orientalis 1
RUS_Tv_O02_2 ori1 orientalis 1
RUS_Ya_O01_1 ori2 orientalis 1
RUS_Ya_O01_2 ori2 orientalis 1
RUS_Ya_O02_1 ori2 orientalis 1
RUS_Ya_O02_2 ori2 orientalis 1
RUS_Ya_O03_1 ori2 orientalis 1
RUS_Ya_O03_2 ori2 orientalis 1
S_Ri_H05_1 cnx3 cornix 1
S_Ri_H05_2 cnx3 cornix 1
S_Ri_H07_1 cnx3 cornix 1
S_Ri_H07_2 cnx3 cornix 1
S_Ri_H23_1 cnx3 cornix 1
S_Ri_H23_2 cnx3 cornix 1
S_Ri_H29_1 cnx3 cornix 1
S_Ri_H29_2 cnx3 cornix 1
S_Ri_H43_1 cnx3 cornix 1
S_Ri_H43_2 cnx3 cornix 1
S_Up_H03_1 cnx3 cornix 1
S_Up_H03_2 cnx3 cornix 1
S_Up_H09_1 cnx3 cornix 1
S_Up_H09_2 cnx3 cornix 1
S_Up_H16_1 cnx3 cornix 1
S_Up_H16_2 cnx3 cornix 1
S_Up_H24_1 cnx3 cornix 1
S_Up_H24_2 cnx3 cornix 1
S_Up_H29_1 cnx3 cornix 1
S_Up_H29_2 cnx3 cornix 1
S_Up_H37_1 cnx3 cornix 1
S_Up_H37_2 cnx3 cornix 1
S_Up_H43_1 cnx3 cornix 1
S_Up_H43_2 cnx3 cornix 1
S_Up_H47_1 cnx3 cornix 1
S_Up_H47_2 cnx3 cornix 1
S_Up_H51_1 cnx3 cornix 1
S_Up_H51_2 cnx3 cornix 1
S_Up_H52_1 cnx3 cornix 1
S_Up_H52_2 cnx3 cornix 1
USNM641313_1 cnx6 capellanus 1
USNM641313_2 cnx6 capellanus 1
USNM641314_1 cnx6 capellanus 1
USNM641314_2 cnx6 capellanus 1
USNM641315_1 cnx6 capellanus 1
USNM641315_2 cnx6 capellanus 1
USNM641341_1 cnx6 capellanus 1
USNM641341_2 cnx6 capellanus 1
USNM645931_1 cnx6 capellanus 1
USNM645931_2 cnx6 capellanus 1
Un_un_P02_1 pec1 pallescens 1
Un_un_P02_2 pec1 pallescens 1
